"image_id","psp_code","gis_code"
"MMWkYAtoQT5A5gEjXkVB7A_139",24334,2312
"XhJmxPAMwvzsfBxi59RWbA_330",13421,2311
"2PPiJzwMz5I5bGm4yqmSVw_351",12124,2312
"RaTRA-WLoVnF2jQyCJkBag_335",13434,2311
"OlvGPnMq8prPmhuQ6YEwKg_134",41422,2312
"mXh0xdXm03fDmYRjAh4PXQ_270",31222,2311
"bAGPneqUc7fL4-mvnSvgGg_179",11444,2312
"rYJZ78-fs05LiB6Cnun02Q_311",11144,2311
"awhMN2iCPmAoYDie2-Txzg_103",22214,2312
"NdmRqP7TW8wMcxYGWguA6Q_207",13134,2311
"rNxsfZBUBAyc-PvK2RcuhA_160",42444,2312
"bTKRppsWv0DwFj-30mzt4A_149",41211,2311
"mJhaQ_7JyPhYhnA9MwJTcQ_354",22433,2312
"M7iKYoBBR5h00RaOyzWyIw_123",31322,2311
"3D6QAGyyN4HYlm4x47Ol4Q_219",24224,2312
"8e5kF7E30h4rV7FAvFXehw_294",33444,2311
"exGkoJdkqPzhTgVqFFqGlQ_164",14234,2312
"2ociSktkKB_kWzQ3x6-vJw_208",44221,2311
"4kqPjGtixK1DEfRv2Eq6Bw_169",33111,2312
"kGzE63iwDK7FY3bFmCdLEw_210",23342,2311
"7ME8lqhPJk2VXRpWNImXWw_307",21313,2312
"4P_E50bS9LcgzdKp0H31Dw_159",14113,2311
"jHi3Ip3xfvWYPNezNENwHw_243",43442,2312
"cMhhp_zGyjkpdo2lD1x6Ag_271",23332,2311
"z5AyZmIgokNhHLvvkpJ2jw_165",41414,2312
"Mk_8O5ZBjJ6zOD6LXWB1Kg_72",33111,2311
"2cC25REU3rZCHzeRV8xT3Q_349",33224,2312
"IllFtUJ6HzzFQDPdRfC4Tg_118",14243,2311
"MGtnRRU_YZglVu3QPGaRfg_147",41434,2312
"gUtJFH8wHqgPt8DSmncZWA_300",33234,2311
"olaDJaOauUaaVl9AX-eFIA_52",11214,2312
"ZHTR5rRSskmr4jEhcamD2w_180",14241,2311
"SwXvPZ19tPJPdIoSdk6Fng_211",12334,2312
"IiTQIg0nAf8rcKEPw_DAQA_267",12343,2311
"HlzvtinB5JWB5Qhl440UPg_0",44111,2312
"AUQrzUgvNEsCo-fvItSWPw_270",14442,2311
"rvQH66n8sgGFgYQol87hLQ_144",22231,2312
"TDQjCW2IWMSNBK5_zbT75Q_226",14333,2311
"guQh-pqv4qmmdCioGB0mPQ_13",11213,2312
"R_GiFBHBEamW7GIgGIcGdw_222",21312,2311
"UzzohH9PteGP0BoEFRAY0A_359",11313,2312
"rL3VjRj5yySUReDpC1Ysyg_262",34333,2311
"W0rST14mFmDFXsDQ5sOaww_118",12212,2312
"GQELvVXHOpQDHV1TS5hJDQ_269",11443,2311
"rhwrLk4nfJTEGMKDxsuQMA_108",24414,2312
"hTuidS4ySD24ddvTtNUAlw_82",22223,2311
"X_cQIogMJ3afxQMEYydTwA_135",31433,2312
"vMvMkc3y0IFANGF4S-bwYw_303",43134,2311
"9U4wtsJS3HlLuLniaPFWNw_75",24213,3212
"k9dWSIKmnXKVvpzOjYuihw_300",14143,3211
"DOZGx__x6ou1u1P3taknnQ_79",31232,3212
"smo5VJoZQwuTawAy3M3Y7Q_319",24141,3211
"z2qXMeARl8OSwpeV20uZgg_107",31214,3212
"j23vBjxHXSi9GKOBSX-Fig_71",23241,3211
"6vKMC97pJu7_rgAgYlyRkA_134",44214,3212
